Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,Distance
"Dubai, United Arab Emirates - Johannesburg, South Africa",DXB,JNB,25.3,55.35,-26.13,28.23,6418.892646733093
"Doha, Qatar - Johannesburg, South Africa",DOH,JNB,25.3,55.35,-26.13,28.23,6418.892646733093
"Dubai, United Arab Emirates - Johannesburg, South Africa",DXB,JNB,25.3,55.35,-26.13,28.23,6418.892646733093
"Dubai, United Arab Emirates - Johannesburg, South Africa",DXB,JNB,25.3,55.35,-26.13,28.23,6418.892646733093
"Johannesburg, South Africa - Singapore, Singapore",SIN,JNB,25.3,55.35,-26.13,28.23,6418.892646733093
"Johannesburg, South Africa - Prague, Czech Republic",PRG,JNB,25.3,55.35,-26.13,28.23,6418.892646733093
"Dubai, United Arab Emirates - Johannesburg, South Africa",DXB,JNB,25.3,55.35,-26.13,28.23,6418.892646733093
"Charlotte, United States Of America - London, United Kingdom",LGW,CLT,51.2,-0.16,35.22,-80.95,6440.277686368973
"London, United Kingdom - Minneapolis, United States Of America",LHR,MSP,51.5,-0.45,44.88,-93.2,6442.724835149038
"London, United Kingdom - Minneapolis, United States Of America",MSP,LHR,44.9,-93.2,51.47,-0.45,6443.049591815533
"Dubai, United Arab Emirates - Shanghai, China",DXB,PVG,25.3,55.35,31.12,121.8,6449.877137267939
"Manchester, United Kingdom - Shanghai, China",MAN,PVG,25.3,55.35,31.12,121.8,6449.877137267939
"Milan, Italy - New York, United States Of America",MXP,JFK,45.5,9.18,40.64,-73.79,6453.451298168059
"Chicago, United States Of America - Milan, Italy",ORD,MXP,40.6,-73.79,45.47,9.18,6457.5315080491455
"Milan, Italy - Newark, United States Of America",MXP,EWR,45.5,9.18,40.69,-74.18,6477.229583788163
"Munich, Germany - New York, United States Of America",JFK,MUC,40.6,-73.79,48.34,11.77,6486.23994417672
"Nairobi, Kenya - Paris, France",CDG,NBO,49.0,2.54,-1.28,36.81,6486.969855801935
"Entebbe/kampala, Uganda - Geneva, Switzerland",GVA,EBB,51.5,-0.45,0.04,32.44,6501.09609783485
"Entebbe/kampala, Uganda - London, United Kingdom",LHR,EBB,51.5,-0.45,0.04,32.44,6501.09609783485
"Entebbe/kampala, Uganda - London, United Kingdom",EBB,LHR,0.0,32.44,51.47,-0.45,6502.608286047096
"Newark, United States Of America - Prague, Czech Republic",PRG,EWR,48.3,11.77,40.69,-74.18,6507.624384139821
"Newark, United States Of America - Turin, Italy",TRN,EWR,48.3,11.77,40.69,-74.18,6507.624384139821
"Munich, Germany - Newark, United States Of America",MUC,EWR,48.3,11.77,40.69,-74.18,6507.624384139821
"Munich, Germany - Newark, United States Of America",MUC,EWR,48.3,11.77,40.69,-74.18,6507.624384139821
"Paris, France - Philadelphia, United States Of America",PHL,CDG,45.1,-89.01,49.01,2.54,6509.564275773453
"Bombay, India - Zurich, Switzerland",BOM,ZRH,19.1,72.86,47.45,8.57,6538.514291997057
"Bombay, India - Zurich, Switzerland",ZRH,BOM,47.5,8.57,19.09,72.86,6539.822034637876
"Frankfurt, Germany - Raleigh/durham, United States Of America",RDU,FRA,39.0,-77.45,50.05,8.56,6546.748059211267
"Dubai, United Arab Emirates - Jakarta-soekarno, Indonesia",CGK,DXB,-6.1,106.66,25.25,55.35,6549.075654320724
"New York, United States Of America - Prague, Czech Republic",PRG,JFK,50.1,14.43,40.64,-73.79,6564.501295046742
"New York, United States Of America - Prague, Czech Republic",JFK,PRG,40.6,-73.79,50.08,14.43,6568.491671293219
"Bombay, India - Frankfurt, Germany",BOM,FRA,19.1,72.86,50.05,8.56,6570.438677119629
"Bombay, India - Frankfurt, Germany",BOM,FRA,19.1,72.86,50.05,8.56,6570.438677119629
"Antigua, Antigua And Barbuda - London, United Kingdom",ANU,LGW,17.1,-61.79,51.16,-0.16,6571.372870304931
"Bombay, India - Frankfurt, Germany",FRA,BOM,50.1,8.56,19.09,72.86,6571.936538655835
"Kuala Lumpur, Malaysia - Sydney, Australia",SYD,KUL,-33.9,151.23,2.76,101.71,6589.962826826674
"Mexico City, Mexico - Santiago, Chile",SCL,MEX,-33.4,-70.79,19.43,-99.16,6602.730261929132
"Helsinki, Finland - New York, United States Of America",HEL,JFK,60.3,24.97,40.64,-73.79,6611.165335416223
"New York, United States Of America - Vilnius, Lithuania",VNO,JFK,60.3,24.97,40.64,-73.79,6611.165335416223
"Madrid, Spain - Philadelphia, United States Of America",MAD,PHL,40.5,-3.58,45.05,-89.01,6655.866200772404
"Madrid, Spain - Philadelphia, United States Of America",MAD,PHL,40.5,-3.58,45.05,-89.01,6655.866200772404
"Amsterdam, Netherlands - Nairobi, Kenya",NBO,AMS,-1.3,36.81,52.31,4.75,6673.340198808838
"New York, United States Of America - Venice, Italy",JFK,VCE,40.6,-73.79,45.44,12.32,6675.046317214268
"New York, United States Of America - Venice, Italy",JFK,VCE,40.6,-73.79,45.44,12.32,6675.046317214268
"Frankfurt, Germany - Poona, India",PNQ,FRA,18.6,73.91,50.05,8.56,6686.008071606939
"Frankfurt, Germany - Poona, India",PNQ,FRA,18.6,73.91,50.05,8.56,6686.008071606939
